code,name,ects,link,professor,description
CS-433,Machine learning,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/machine-learning-CS-433,"Flammarion Nicolas Henri Bernard, Jaggi Martin","Machine learning methods are becoming increasingly central in many sciences and applications. In this course, fundamental principles and methods of machine learning will be introduced, analyzed and practically implemented."
CH-351,Molecular dynamics and Monte-Carlo simulation,2,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/molecular-dynamics-and-monte-carlo-simulation-CH-351,Röthlisberger Ursula,Introduction to molecular dynamics and Monte-Carlo simulation methods.
MATH-456,Numerical analysis and computational mathematics,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/numerical-analysis-and-computational-mathematics-MATH-456,Grigori Laura,The course provides an introduction to scientific computing. Several numerical methods are presented for the computer solution of mathematical problems arising in different applications. The software MATLAB is used to solve the problems and verify the theoretical properties of the numerical methods.
MATH-454,Parallel and high-performance computing,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/parallel-and-high-performance-computing-MATH-454,Antolin Sanchez Pablo,"This course provides insight into a broad variety of High Performance Computing (HPC) concepts and the majority of modern HPC architectures. Moreover, the student will learn to have a feeling about what architectures are suited for several types of algorithms and learn to program for them."
CS-302,Parallelism and concurrency in software,6,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/parallelism-and-concurrency-in-software-CS-302,Falsafi Babak,"From sensors,to smart phones,to the world's largest datacenters and supercomputers, parallelism & concurrency is ubiquitous in modern computing.There are also many forms of parallel & concurrent execution in modern platforms with varying degrees of ease of programmability,performance & efficiency."
MATH-458,Programming concepts in scientific computing,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/programming-concepts-in-scientific-computing-MATH-458,Anciaux Guillaume,"The aim of this course is to provide the background in scientific computing. The class includes a brief introduction to basic programming in c++, it then focus on object oriented programming and c++ specific programming techniques."
MATH-591,CSE project I,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/cse-project-i-MATH-591,Profs divers *,L'étudiant applique les compétences acquises dans un projet de recherche théorique ou appliqué.
MATH-592,CSE project II,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/cse-project-ii-MATH-592,Profs divers *,L'étudiant applique les compétences acquises dans un projet de recherche théorique ou appliqué.
MATH-595,Engineering internship (master in computational sciences and engineering,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/engineering-internship-master-in-computational-sciences-and-engineering-MATH-595,Profs divers *,L'étudiant effectue un stage en entreprise dans un domaine d'activité où ses compétences en science et ingénierie computationnelles sont mises en valeur.
CS-471,Advanced multiprocessor architecture,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/advanced-multiprocessor-architecture-CS-471,Falsafi Babak,"Multiprocessors are basic building blocks for all computer systems. This course covers the architecture and organization of modern multiprocessors, prevalent accelerators (e.g., GPU, TPU), and datacenters. It includes a research project on multiprocessors and post-Moore era datacenters."
CS-450,Algorithms II,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/algorithms-ii-CS-450,"Kapralov Mikhail, Svensson Ola Nils Anders","A first graduate course in algorithms, this course assumes minimal background, but moves rapidly. The objective is to learn the main techniques of algorithm analysis and design, while building a repertory of basic algorithmic solutions to problems in many domains."
CS-401,Applied data analysis,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/applied-data-analysis-CS-401,Brbic Maria,"This course teaches the basic techniques, methodologies, and practical skills required to draw meaningful insights from a variety of data, with the help of the most acclaimed software tools in the data science world (pandas, scikit-learn, Spark, etc.)"
MSE-468,Atomistic and quantum simulations of materials,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/atomistic-and-quantum-simulations-of-materials-MSE-468,Pizzi Giovanni,"Theory and application of quantum simulations to model, understand, and predict the properties of real materials."
MATH-453,Computational linear algebra,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/computational-linear-algebra-MATH-453,Kressner Daniel,"This course provides an overview of advanced techniques for solving large-scale linear algebra problems, as they typically arise in applications. A central goal of this course is to give the ability to choose a suitable solver for a given application."
CH-452,Computational methods in molecular quantum mechanics,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/computational-methods-in-molecular-quantum-mechanics-CH-452,Bonella Sara,This course will discuss the main methods for the simulation of quantum time dependent properties for molecular systems. Basic notions of density functional theory will be covered. An introduction to simulating nuclear quantum effects for adiabatic and non adiabatic dynamics will be provided.
NX-465,Computational neurosciences: neuronal dynamics,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/computational-neurosciences-neuronal-dynamics-NX-465,Gerstner Wulfram,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition. The focus is on brain dynamics approximated by deterministic or stochastic differential equations.
EE-559,Deep learning,4,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/deep-learning-EE-559,Cavallaro Andrea,"This course explores how to design reliable discriminative and generative neural networks, the ethics of data acquisition and model deployment, as well as modern multi-modal models."
CS-502,Deep learning in biomedicine,6,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/deep-learning-in-biomedicine-CS-502,,"Deep learning offers potential to transform biomedical research. In this course, we will cover recent deep learning methods and learn how to apply these methods to problems in biomedical domain."
CS-456,Deep reinforcement learning,6,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/deep-reinforcement-learning-CS-456,Gulcehre Caglar,"This course provides an overview and introduces modern methods for reinforcement learning (RL.) The course starts with the fundamentals of RL, such as Q-learning, and delves into commonly used approaches, like PPO and DQN. The course will introduce students to practical applications of RL."
ENG-466,Distributed intelligent systems,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/distributed-intelligent-systems-ENG-466,Martinoli Alcherio,The goal of this course is to provide methods and tools for modeling distributed intelligent systems as well as designing and optimizing coordination strategies. The course is a well-balanced mixture of theory and practical activities.
COM-502,Dynamical system theory for engineers,6,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/dynamical-system-theory-for-engineers-COM-502,Thiran Patrick,"Linear and nonlinear dynamical systems are found in all fields of science and engineering. After a short review of linear system theory, the class will explain and develop the main tools for the qualitative analysis of nonlinear systems, both in discrete-time and continuous-time."
ENG-420,Environmental transport phenomena,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/environmental-transport-phenomena-ENG-420,"Crouzy Benoît, Porté Agel Fernando","The course aims at introducing basic physical aspects of molecular and turbulent diffusion, as well as of dispersion processes, their mathematical modeling, solutions and related environmental applications"
COM-406,Foundations of Data Science,8,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/foundations-of-data-science-COM-406,"Gastpar Michael Christoph, Urbanke Rüdiger","We discuss a set of topics that are important for the understanding of modern data science but that are typically not taught in an introductory ML course. In particular we discuss fundamental ideas and techniques that come from probability, information theory as well as signal processing."
CS-457,Geometric computing,6,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/geometric-computing-CS-457,Pauly Mark,This course will cover mathematical concepts and efficient numerical methods for geometric computing. We will explore the beauty of geometry and develop algorithms to simulate and optimize 2D and 3D geometric models with an emphasis towards computational design for digital fabrication.
MATH-505,HPC for numerical methods and data analysis,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/hpc-for-numerical-methods-and-data-analysis-MATH-505,Grigori Laura,The objective of this course is to provide the necessary background for designing efficient parallel algorithms in scientific computing as well as in the analysis of large volumes of data. The operations considered are the most costly steps at the heart of many complex numerical simulations.
ME-444,Hydrodynamics,5,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/hydrodynamics-ME-444,Gallaire François,"Nondimensionalized Navier-Stokes equations result in a great variety of models (Stokes, Lubrication, Euler, Potential) depending on the Reynolds number. The concept of boundary layer enables us then to identify the different components of the hydrodynamic drag. Wave drag is finally introduced."
MICRO-512,Image processing II,3,https://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering/coursebook/image-processing-ii-MICRO-512,"Liebling Michael Stefan Daniel, Sage Daniel, Unser Michaël, Van De Ville Dimitri Nestor Alice",Study of advanced image processing; mathematical imaging. Development of image-processing software and prototyping in Jupyter Notebooks; application to real-world examples in industrial vision and biomedical imaging.
