code,name,ects,link,professor,description
MICRO-312,Physics of semiconductors devices,3,https://edu.epfl.ch/studyplan/en/bachelor/microengineering/coursebook/physics-of-semiconductors-devices-MICRO-312,Besse Pierre-André,"Les étudiants savent expliquer la physique des composants semiconducteurs, tels que diodes, transistors et composants MOS. Ils les utilisent dans des circuits électroniques fondamentaux tels qu'inverseurs et ampli."
MICRO-371,Software architecture,3,https://edu.epfl.ch/studyplan/en/bachelor/microengineering/coursebook/software-architecture-MICRO-371,"Ingram Sandy, Silva Eric","Ce cours couvre des sujets liés à l'architecture software moderne et industrielle : la gestion agile de projets, la spécification des besoins, le développement d'applications critiques, la programmation robuste, et les aspects devOps (automatisation de tests, pipeline CI/CD)"
MICRO-333,Wireless sensor practicals,3,https://edu.epfl.ch/studyplan/en/bachelor/microengineering/coursebook/wireless-sensor-practicals-MICRO-333,Subramanian Vivek,"In this course, students will design, fabricate, and characterize a wireless sensor wearable. Students will design a custom-chosen wearable around a standardized wireless microcotroller platform, including the electronics and packaging, and will characterize and analyze its performance."
PHYS-202,Analytical mechanics (for SPH),5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/analytical-mechanics-for-sph-PHYS-202,Jacquod Philippe René Joseph,Présentation des méthodes de la mécanique analytique (équations de Lagrange et de Hamilton) et introduction aux notions de modes normaux et de stabilité.
PHYS-200,Physics III,6,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-iii-PHYS-200,Dil Jan Hugo,"The students understand and apply the physics of fluids, and the basics of electromagnetism and electronic schemes"
PHYS-206,Physics IV,5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-iv-PHYS-206,Ricci Paolo,Ondes et introduction à la relativité restreinte.
PHYS-207,Quantum mechanics I,5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/quantum-mechanics-i-PHYS-207,Banerjee Mitali,"The objective of this course is to familiarize the student with the concepts, methods and consequences of quantum physics."
MATH-201,Analysis III,5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/analysis-iii-MATH-201,Picasso Marco,Calcul différentiel et intégral. Eléments d'analyse complexe.
MATH-206,Analysis IV,4,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/analysis-iv-MATH-206,Aru Juhan,"En son coeur, c'est un cours d'analyse fonctionnelle pour les physiciens et traite les bases de théorie de mesure, des espaces des fonctions et opérateurs linéaires."
PHYS-231,Data analysis for Physics,4,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/data-analysis-for-physics-PHYS-231,Zdeborová Lenka,"Ce cours présentera les bases de l'analyse des données et de l'apprentissage à partir des données, l'estimation des erreurs et la stochasticité en physique. Les concepts seront introduits théoriquement ainsi que via des exercices numériques réalisés en Python."
PHYS-216,Mathematical methods (for SPH),3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/mathematical-methods-for-sph-PHYS-216,Bréchet Sylvain,"This course complements the Analysis and Linear Algebra courses by providing further mathematical background and practice required for 3rd year physics courses, in particular electrodynamics and quantum mechanics."
PHYS-210,Physique numérique (pour SPH),6,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physique-numerique-pour-sph-PHYS-210,Villard Laurent,"Aborder, formuler et résoudre des problèmes de physique en utilisant des méthodes numériques élémentaires. Comprendre les avantages et les limites de ces méthodes (stabilité, convergence). Illustrer différents sujets de physique traités dans d'autres cours."
MATH-233,Probability and statistics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/probability-and-statistics-MATH-233,Davison Anthony Christopher,Le cours fournit une initiation à la théorie des probabilités et aux méthodes statistiques pour physiciens.
PHYS-204,Physics lab IIa,5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-lab-iia-PHYS-204,"Mari Daniele, Meinen Cédric, Sallese Jean-Michel, Tkalcec Vâju Iva","Ce cours pratique permet d'acquérir la connaissance des phénomènes physiques de base ainsi que de leurs applications, d'acquérir des connaissances concernant les méthodes d'observation et de mesure ainsi que l'analyse des données et leur présentation."
PHYS-211,Physics lab IIb,5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-lab-iib-PHYS-211,"Mari Daniele, Meinen Cédric, Tkalcec Vâju Iva","Ce cours pratique permet d'acquérir la connaissance des phénomènes physiques de base ainsi que de leurs applications, d'acquérir des connaissances concernant les méthodes d'observation et de mesure ainsi que l'analyse des données et leur présentation."
PHYS-334,"Atomic, molecular physics and optics",5,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/atomic-molecular-physics-and-optics-PHYS-334,"Brantut Jean-Philippe, Yazyev Oleg","This course presents the fundamental physics of atoms and molecules, their structure and their interaction with electromagnetic fields."
PHYS-324,Classical electrodynamics,7,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/classical-electrodynamics-PHYS-324,Gorbenko Victor,The goal of this course is the study of the physical and conceptual consequences of Maxwell equations.
PHYS-311,Particles and fundamental interactions,4,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/particles-and-fundamental-interactions-PHYS-311,Schneider Olivier,Introduction générale sur l'état des connaissances en physique des particules élémentaires: de la cinématique relativiste à l'interprétation phénoménologique des collisions à haute énergie.
PHYS-314,Quantum physics II,6,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/quantum-physics-ii-PHYS-314,Holmes Zoë,"The aim of this course is to familiarize the student with the concepts, methods and consequences of quantum physics."
PHYS-337,Solid state physics,6,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/solid-state-physics-PHYS-337,"Brune Harald, Pivetta Marina","Ce cours donne une introduction à la Physique du solide, notamment à la structure cristalline, aux vibrations du réseau, aux propriétés électroniques, de transport thermique et électrique, ainsi qu'aux propriétés magnétiques. Il se situe au niveau du livre de Ashcroft & Mermin."
PHYS-338,Statistical physics,6,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/statistical-physics-PHYS-338,Krzakala Florent Gérard,"Ce cours introduit les principes fondamentaux de la physique statistique, l'une des théories les plus fondamentales de la physique moderne."
PHYS-300(a),Introduction to construction technics,0,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/introduction-to-construction-technics-PHYS-300-A,"Burnens Julien, Gentile Antonio, Turin Nicolas","Acquérir des notions de dessin technique, de pratiques de mécanique et électronique pour le laboratoire de physique."
PHYS-319,Physics lab IIIa,8,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-lab-iiia-PHYS-319,"Magrez Arnaud, Mari Daniele, Tkalcec Vâju Iva","Ce cours permet d'observer de nombreux phénomènes physiques et leur applications technologiques. Il permet ainsi d'acquérir des connaissances sur les méthodes d'observation, de mesure et d'analyse des données. Les étudiants se familiarisent avec la communication scientifique."
PHYS-320,Physics lab IIIb,8,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/physics-lab-iiib-PHYS-320,"Magrez Arnaud, Mari Daniele, Tkalcec Vâju Iva","Ce cours permet d'observer de nombreux phénomènes physiques et leur applications technologiques. Il permet ainsi d'acquérir des connaissances sur les méthodes d'observation, de mesure et d'analyse des données. Les étudiants se familiarisent avec la communication scientifique."
PHYS-339,Advanced computational physics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/advanced-computational-physics-PHYS-339,Carleo Giuseppe,"The course covers dense/sparse linear algebra, variational methods in quantum mechanics, and Monte Carlo techniques. Students implement algorithms for complex physical problems. Combines theory with coding exercises. Prepares for research in computational physics and related fields."
PHYS-301,Biophysics : physics of the cell,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/biophysics-physics-of-the-cell-PHYS-301,Manley Suliana,"In this course we will study the cell (minimum unit of life) and its components. We will study several key cellular features: Membranes, genomes, channels and receptors. We will apply the laws of physics to develop models to make quantitative and predictive statements."
PHYS-341,Fluid mechanics and soft matter,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/fluid-mechanics-and-soft-matter-PHYS-341,,.
CH-160(b),General chemistry,coefficient,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/general-chemistry-CH-160-B,Terrettaz Samuel,"Cet enseignement vise l'acquisition des notions essentielles relatives à la structure de la matière, aux équilibres et à la réactivité chimiques. Le cours et les exercices fournissent la méthodologie permettant de résoudre par le raisonnement et le calcul des problèmes inédits de chimie générale."
PHYS-345,Introduction to astrophysics: the basics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/introduction-to-astrophysics-the-basics-PHYS-345,Kneib Jean-Paul Richard,"Presentation générale des méthodes et des connaissances de l'astrophysique moderne permettant d'illustrer notre perception et notre compréhension de l'univers. Ce cours constitue la base pours les cours plus avancés, mais aussi donne la culture générale 'astrophysique' pour tout étudiant."
PHYS-325,Introduction to plasma physics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/introduction-to-plasma-physics-PHYS-325,Loizu Cisquella Joaquim,Introduction à la physique des plasmas destinée à donner une vue globale des propriétés essentielles et uniques d'un plasma et à présenter les approches couramment utilisées pour modéliser son comportement. Application à la fusion thermonucléaire ainsi qu'à certains phénomènes de l'astrophysique.
PHYS-342,Nuclear physics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/nuclear-physics-PHYS-342,Schneider Olivier,Introduction générale à la physique des noyaux atomiques: des états liés à la diffusion.
PHYS-340,Optics and photonics,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/optics-and-photonics-PHYS-340,Dwir Benjamin,"L'optique touche à beaucoup de sujets, du calcul et cryptage quantique à la communication par fibre. Ce premier cours traite plusieurs aspects de l'optique ondulaire et électromagnétique: propagation, dispersion, interférence, diffraction, polarisation, modulation, guidage, etc."
PHYS-343,Systèmes complexe,3,https://edu.epfl.ch/studyplan/en/bachelor/physics/coursebook/systemes-complexe-PHYS-343,,.
PENS-236,,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/-PENS-236,"Braghieri Nicola, Graezer Bideau Florence, Terrier Aurélie Anne-Laure","Certaines villes anciennes sont des ruines, alors que d'autres évoluent, intégrant leur histoire au tissu urbain. Ces transformations créent des palimpsestes architecturaux, faisant de la ville un monument vivant où passé et présent coexistent, révélant des histoires captivantes à chaque coin de rue"
PENS-231,Adventure on Planet B,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/adventure-on-planet-b-PENS-231,"Duran Sala Marc, Hendrick Martin Pierre E, Manoli Gabriele",This course will take students on a cosmic journey and then back to Earth to reflect on planetary challenges and their solutions.
PENS-216,"Chantier urbain : perception, gouvernance, usages",4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/chantier-urbain-perception-gouvernance-usages-PENS-216,"Bierlaire Michel, Grandvillemin Jules Paul Roger, Kaufmann Vincent, Messer Marc Antoine","Cette semaine ENAC vise à appréhender le chantier urbain comme un moment clé de la fabrique territoriale, l'articulation entre la planification territoriale et la mise en oeuvre effective d'une vision pour le territoire."
PENS-212,Constructive second hand,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/constructive-second-hand-PENS-212,"Bastien Masse Maléna, Fivet Corentin Jean Dominique, Küpfer Célia Marine, Lambec Barbara Ludivine Justine","Construire seconde main c'est prendre l'économie circulaire comme une opportunité, pour concevoir mieux en récupérant les éléments issus de la déconstruction, à coût environnemental minimum. Cette semaine initie à ces concepts par la pratique."
PENS-230,Digital ENAC: le codage en contexte,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/digital-enac-le-codage-en-contexte-PENS-230,,"Digital ENAC aims to provide students with the ability to apply the principles of coding to the practical life of designers and engineers. We will not focus on a specific coding language, but will extrapolate the principles and the logic behind algorithms to apply them to collaborative applications."
PENS-229,Floating offshore renewables,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/floating-offshore-renewables-PENS-229,"Vassilopoulos Anastasios, Waldhart Clemens","Ce cours invite à repenser les systèmes d'énergie renouvelable flottantes et à proposer de nouveaux concepts de collecte, de gestion et de distribution en mer. La multifonctionnalité des systèmes proposés est envisagée pour réduire leur coût et leur impact environnemental."
PENS-219,Hidden rivers,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/hidden-rivers-PENS-219,"De Cesare Giovanni, Peter Hannes Markus, Viganò Paola","Hidden Rivers aims at fulfilling the need for an interdisciplinary understanding of the problematics surrounding urban streams, through ecological, hydrological, and spatial relationships found in riverscapes."
PENS-200,La maîtrise du sol en droit suisse,0,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/la-maitrise-du-sol-en-droit-suisse-PENS-200,Dubey Jacques,"Ce cours est une introduction au droit. Il a pour but de sensibiliser les étudiant-es des trois sections ENAC à l'importance de cette discipline pour la pratique de leur métier respectif et, donc, pour la mise en commun de leurs savoirs afin de ""projeter ensemble""."
PENS-217,Living in emergency,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/living-in-emergency-PENS-217,,"PENS-217 propose une compréhension technique et sociale de l'habitat d'urgence. Pour cela, il s'agira de concevoir un camp de réfugié.e.s habitable, puis d'y construire un abri et son équipement d'assainissement au moyen d'un kit de matériaux du type de ceux distribués comme réponse humanitaire."
PENS-201,Making structural logic,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/making-structural-logic-PENS-201,"Baur Raffael, Corres Sojo Enrique, Fernandez-Ordoñez Hernandez David Carlos, Guaita Patricia",The ENAC week provides students the possibility to engage into an iterative process of testing and exploring structural and material limits and possibilities through the collaborative design and construction of structural elements in folded steel. The ENAC week will take place at EPFL Fribourg.
PENS-227,Night in Lausanne,4,https://edu.epfl.ch/studyplan/en/bachelor/projeter-ensemble-enac/coursebook/night-in-lausanne-PENS-227,"Gwiazdzinski Luc Marc, Jessel Beate, Kaufmann Vincent, Montavon Chloé Marlène",La semaine ENAC propose d'aborder plusieurs axes : 1. Explorer de manière interdisciplinaire les Nuits de Lausanne 2. Dresser un état des lieux des nuits à l'aide d'une traversée nocturne 3. Imaginer ensemble des pistes pour le futur des Nuits de Lausanne 4. Exposer et mettre en débat ces premiè
