course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,tip
BIO-411,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/topics-in-life-sciences-engineering-BIO-411,Topics in life sciences engineering,3.2 (4),3.2,3.5,4 (4),"['Gönczy', 'McCabe', 'Naef']","Having never studied biology at the university level, I found this course extremely challenging. If you find yourself in a similar situation, I recommend reading the recommended book before the start of the course (not the entire book, just the section covering DNA, DNA replication, transcription, and translation, genetic). Complete the assignments thoroughly, as the written exam is not easy. The first assignment is the easiest, and it gets progressively more challenging. The exercise sessions can be helpful, but not all TAs are equally prepared."
BIO-411,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/topics-in-life-sciences-engineering-BIO-411,Topics in life sciences engineering,3.2 (4),3.2,3.5,4 (4),"['Gönczy', 'McCabe', 'Naef']",If you already have some biology background the first 2 assignments are fairly easy. The last one is much more complicated. TAs are nice but only few know what they're talking about
BIO-411,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/topics-in-life-sciences-engineering-BIO-411,Topics in life sciences engineering,3.2 (4),3.2,3.5,4 (4),"['Gönczy', 'McCabe', 'Naef']","The exam is composed by six multiple choice questions (two from each professor) and three open questions. I guess that the exam is different every year, and this year (2023/2024) it was way harder than the mock exam (and from what I have heard it was also harder than last year). You do not have to do everything to get the maximum. The last part was the hardest"
BIO-411,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/topics-in-life-sciences-engineering-BIO-411,Topics in life sciences engineering,3.2 (4),3.2,3.5,4 (4),"['Gönczy', 'McCabe', 'Naef']","The exam is composed by six multiple choice questions (two from each professor) and three open questions. I guess that the exam is different every year, and this year (2023/2024) it was way harder than the mock exam (and from what I have heard it was also harder than last year). You do not have to do everything to get the maximum. The last part was the hardest"
BIO-443,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/fundamentals-of-biophotonics-BIO-443,Fundamentals of biophotonics,3 (1),3,2,2 (3),['Radenovic'],"lectures are not always clear (in my opinion), do some research aside"
BIO-443,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/fundamentals-of-biophotonics-BIO-443,Fundamentals of biophotonics,3 (1),3,2,2 (3),['Radenovic'],"lectures are not always clear (in my opinion), do some research aside"
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3,2.5 (3),"['Radtke', 'Suter']","You have to take it, it is compulsory, but if I should give an advicde : go to class, write down every word the teacher says, because the slides are not good at all and do not give the info you need for the exam. the exam is without notes and is a multiple choice, so you have to learn by heart every little detail. If you go to class and learn week after week it should not be too difficult, but it is really the old way : learn by heart, dot."
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3,2.5 (3),"['Radtke', 'Suter']","There used to be the zoom recordings from the COVID era but I don't know if and how you can access them. I have no idea if there are exercise sessions so I guess they don't bring much. The exam was full of small details which were either not on the slides, or hidden in the corner of a graph on slide 49/137."
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3,2.5 (3),"['Radtke', 'Suter']",Learn by heart. Some questions at the exam ask you ridiculous details but knowing the essential should be enough to pass.
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3,2.5 (3),"['Radtke', 'Suter']","Show up at the lecture and try to write what the teachers are saying, a lot of details are missing in the slide. For the exam you have to learn everything by heart and you can be asked questions about minuscule detail on a random slide."
